fecha,hora,latitude,longitude,depth,mag
1552-07-02,10:30:00.000,-16.6,-71.3,30,7.6
1555-11-15,00:00:00.000,-11.9,-77.6,30,8.4
1568-04-04,00:00:00.000,-12.3,-77.7,30,6.6
1582-01-22,16:30:00.000,-16.6,-71.6,30,8.2
1582-08-15,00:00:00.000,-12.2,-77.6,30,7.8
1584-03-17,00:00:00.000,-11.8,-77.8,30,8.4
1586-07-10,00:30:00.000,-12.109,-77.028,40,8.6
1600-02-19,10:00:00.000,-16.77,-70.9,20,7.9
1600-02-28,20:00:00.000,-16.6,-70.8,20,8.1
1604-11-24,18:30:00.000,-17.88,-70.94,30,9.4
1606-03-23,20:00:00.000,-7,-80.3,40,6.5
1606-10-25,13:00:00.000,-11.8,-77.8,60,6.8
1609-10-20,01:00:00.000,-11.9,-77.4,40,8.6
1615-09-16,00:00:00.000,-18.25,-71,40,8.8
1619-02-14,16:30:00.000,-7.941,-79.038,40,8.6
1630-11-27,15:30:00.000,-12.2,-77.5,30,7.5
1650-03-31,16:10:00.000,-13.6,-72.2,70,7.4
1650-03-31,19:00:00.000,-13.5,-71.7,30,7.2
1655-11-13,19:45:00.000,-12.3,-77.6,30,8.8
1658-02-14,00:00:00.000,-8.2,-80.1,40,7.7
1664-05-12,09:15:00.000,-14.1,-75.85,15,7.3
1678-06-16,01:45:00.000,-12.3,-77.8,40,7.7
1687-10-20,09:15:00.000,-12.55,-77,40,5.9
1687-10-20,10:30:00.000,-13.231,-76.507,30,8.2
1687-10-21,12:00:00.000,-16.4,-71.6,60,7.2
1690-11-20,19:30:00.000,-12.55,-77,40,7.2
1696-07-14,09:00:00.000,-12.8,-77.7,20,6.7
1697-09-29,13:30:00.000,-12.3,-77.4,30,7.3
1699-07-14,09:00:00.000,-11.8,-77.5,40,7.8
1700-08-02,21:00:00.000,-13.9,-72.1,10,4.1
1707-09-18,05:00:00.000,-13.9,-72.1,10,4.4
1709-05-23,07:00:00.000,-12.6,-77.5,60,4.6
1709-12-20,10:00:00.000,-12.3,-77.3,60,6.3
1719-06-17,00:00:00.000,-13.2,-74.4,20,4.6
1732-12-02,06:00:00.000,-11.8,-77.6,50,6.9
1741-08-25,00:00:00.000,-3.1,-78.1,0,6.8
1744-11-19,11:30:00.000,-13.77,-72.1,20,4.8
1746-02-11,00:00:00.000,-14,-71.7,20,4.9
1746-10-29,03:30:00.000,-11.996,-77.198,30,8.4
1747-03-14,18:30:00.000,-8.58,-78.1,20,4.9
1747-03-19,00:00:00.000,-13.9,-70.35,20,6.2
1749-01-20,00:00:00.000,-4,-79.3,0,7.4
1759-09-03,04:15:00.000,-8.134,-79.932,50,5.9
1777-01-26,08:00:00.000,-11.8,-77.4,50,5.3
1784-05-13,12:36:00.000,-16.5,-72,27,8.4
1794-09-07,00:00:00.000,-12.2,-77.4,40,4.9
1799-01-21,21:00:00.000,-12.2,-77.4,40,4.9
1812-01-03,16:45:00.000,-16.8,-71.8,25,4.8
1821-07-10,13:00:00.000,-16.107,-72.967,90,8.2
1821-07-10,18:10:00.000,-16.4,-71.6,0,7.9
1833-09-18,10:45:00.000,-18.251,-71.01,60,7.7
1839-07-05,00:30:00.000,-11,-75,20,5.3
1840-01-28,08:00:00.000,-12.3,-77.3,40,4.8
1845-06-04,03:45:00.000,-16.6,-71.6,30,4.7
1861-04-13,22:30:00.000,-13.803,-73.419,20,4.5
1868-08-13,21:23:00.000,-16.4,-71.56,0,8.8
1868-08-13,21:46:00.000,-18.29,-70.59,25,8.6
1869-08-24,18:45:00.000,-17.5,-72,30,8.4
1869-11-04,00:30:00.000,-16.6,-71.65,30,4.9
1875-12-06,02:30:00.000,-13.4,-72.7,20,4.9
1877-05-17,00:00:00.000,-16,-68,20,5.2
1878-01-23,00:00:00.000,-20.05,-77,40,7.9
1891-08-15,11:03:00.000,-15.5,-68.5,5,6.2
1897-09-20,16:25:00.000,-11.913,-76.791,70,7.7
1901-11-21,19:19:00.000,-14.177,-76.32,80,6.7
1902-01-02,14:08:00.000,-9,-78.4,80,6.8
1904-05-04,16:00:00.000,-4,-79.2,0,6.8
1905-01-23,11:15:00.000,-13.67,-71.87,7,4.1
1906-09-28,15:24:54.000,-6.172,-77.494,150,7.9
1907-11-17,10:15:00.000,-4,-79.2,0,6.2
1913-02-24,02:30:00.000,-3.42,-79.61,50,7.7
1913-07-28,06:40:00.000,-16.6,-73.3,30,7
1913-08-06,22:14:24.000,-15.8,-73.5,80,7.8
1914-12-02,23:55:00.000,-15.242,-73.346,15,4.3
1915-12-27,15:48:00.000,-15.2,-75,70,6.7
1915-12-28,23:40:00.000,-15.155,-73.93,90,7.3
1916-02-08,15:35:00.000,-12.967,-74.064,120,6.9
1920-10-07,20:54:00.000,-15.133,-74.173,80,7.1
1921-12-18,15:29:35.000,-4.11,-72.04,630,7.9
1922-01-06,14:11:02.000,-16.5,-73,0,7.2
1922-01-17,03:50:33.000,-3.76,-71.89,635,7.6
1922-10-11,14:49:50.000,-16,-72.5,50,7.4
1924-03-11,22:44:23.000,-4,-82,60,6.8
1924-03-16,01:22:36.000,-2,-72,0,6.9
1925-01-05,13:45:46.000,-14,-73.5,200,6.5
1925-09-12,09:26:00.000,-8,-75,0,6.9
1925-10-25,04:30:00.000,-18,-73,0,6.9
1926-03-07,20:32:30.000,-9.5,-84,0,6.8
1926-03-07,20:33:38.000,-5.27,-77.45,93,6.5
1926-03-11,10:41:54.000,-12.52,-77.073,80,7.2
1926-06-05,01:20:15.000,-17,-78.5,0,6.8
1926-07-01,20:29:30.000,-5,-81.5,0,6.8
